日期,收盘,开盘,高,低,交易量,涨跌幅
2021/1/4,51.09,51.5,53.33,50.56,382.90K,-1.37%
2021/1/5,53.6,50.95,53.9,50.7,455.35K,4.91%
2021/1/6,54.3,53.52,54.73,53.02,414.41K,1.31%
2021/1/7,54.38,54.13,54.9,53.94,267.19K,0.15%
2021/1/8,55.99,54.56,56.36,54.34,336.65K,2.96%
2021/1/11,55.66,56.24,56.39,54.99,295.07K,-0.59%
2021/1/12,56.58,55.66,56.79,55.51,288.14K,1.65%
2021/1/13,56.06,56.83,57.42,55.77,324.30K,-0.92%
2021/1/14,56.42,55.93,56.57,55.24,331.29K,0.64%
2021/1/15,55.1,56.41,56.5,54.64,298.41K,-2.34%
2021/1/18,54.75,54.75,55.21,54.49,142.87K,-0.64%
2021/1/19,55.9,55.01,56.08,54.89,261.10K,2.10%
2021/1/20,56.08,56.07,56.64,55.66,310.89K,0.32%
2021/1/21,56.1,55.82,56.24,55.49,254.59K,0.04%
2021/1/22,55.41,56,56.03,54.48,269.37K,-1.23%
2021/1/25,55.88,55.26,56.02,55.07,198.27K,0.85%
2021/1/26,55.91,55.93,56.34,55.39,163.20K,0.05%
2021/1/27,55.81,56.05,56.49,55.2,132.41K,-0.18%
2021/1/28,55.53,55.41,56.59,55.31,122.48K,-0.50%
2021/1/29,55.88,55.52,56.37,55.31,19.94K,0.63%
2021/2/1,56.35,54.91,56.53,54.6,288.25K,0.84%
2021/2/2,57.46,56.35,58.05,56.33,337.68K,1.97%
2021/2/3,58.46,57.85,58.94,57.5,276.86K,1.74%
2021/2/4,58.84,58.59,59.12,58.04,244.07K,0.65%
2021/2/5,59.34,59.17,59.79,59.08,229.42K,0.85%
2021/2/8,60.56,59.43,60.72,59.43,269.31K,2.06%
2021/2/9,61.09,60.8,61.34,60.05,319.50K,0.88%
2021/2/10,61.47,61.21,61.69,60.87,287.71K,0.62%
2021/2/11,61.14,61.01,61.5,60.72,209.69K,-0.54%
2021/2/12,62.43,60.82,62.83,60.35,307.72K,2.11%
2021/2/15,63.3,62.83,63.76,62.82,220.38K,1.39%
2021/2/16,63.35,63.47,63.7,62.69,284.67K,0.08%
2021/2/17,64.34,63.15,64.96,62.73,391.26K,1.56%
2021/2/18,63.93,65.02,65.52,63.22,420.56K,-0.64%
