Date,Close,Open,High,Low,Volume,Fluctuation
1988/6/27,15.1,15.1,15.1,15.1,0.05,-0.0351
1988/6/28,15.27,15.34,15.36,15.27,0.16,0.0113
1988/6/30,14.85,14.8,14.9,14.8,0.42,-0.0401
1988/7/1,14.6,14.6,14.6,14.6,0.05,-0.0168
1988/7/4,14.35,14.5,14.5,14.3,0.17,-0.0171
1988/7/5,14.3,14.45,14.58,14.3,0.13,-0.0035
1988/7/6,14.68,14.6,14.68,14.49,0.29,0.0266
1988/7/7,15.45,14.95,15.45,14.9,0.81,0.0525
1988/7/8,15.05,15.12,15.12,15,0.11,-0.0259
1988/7/11,14.5,14.7,14.7,14.5,0.21,-0.0365
1988/7/12,14.1,15.12,15.12,15,0.14,-0.0276
1988/7/13,14.17,14.05,14.17,13.9,0.54,0.005
1988/7/14,14.06,13.85,14.06,13.79,0.51,-0.0078
1988/7/15,14.18,14.3,14.4,14.18,0.41,0.0085
1988/7/18,14.8,14.25,14.85,14.2,0.24,0.0437
1988/7/19,15.08,15.15,15.25,14.88,0.43,0.0189
1988/7/20,15.13,14.8,15.13,14.8,0.05,0.0033
1988/7/21,15.45,15.35,15.62,15.3,0.21,0.0212
1988/7/22,15.71,15.6,15.71,15.45,0.77,0.0168
1988/7/25,15.69,15.7,15.9,15.68,0.57,-0.0013
1988/7/26,15.32,15.52,15.52,15.29,0.65,-0.0236
1988/7/27,15.42,15.25,15.44,15.22,0.28,0.0065
1988/7/28,15.67,15.5,15.71,15.5,0.23,0.0162
1988/7/29,15.7,15.6,15.7,15.6,0.44,0.0019
1988/8/1,15.56,15.64,15.64,15.55,0.27,-0.0089
1988/8/2,15.38,15.35,15.42,15.35,0.16,-0.0116
1988/8/3,15,15,15.25,14.96,1.22,-0.0247
1988/8/4,14.48,14.58,14.6,14.48,0.18,-0.0347
1988/8/5,14.63,14.75,14.75,14.63,0.04,0.0104
1988/8/8,15.3,15.2,15.35,15.2,0.87,0.0458
1988/8/9,15.34,15.45,15.45,15.27,0.33,0.0026
1988/8/10,15.08,15.08,15.08,15,0.35,-0.0169
1988/8/11,15.09,15.1,15.15,15.05,0.23,0.0007
1988/8/12,15.2,15.17,15.25,15.15,0.48,0.0073
1988/8/15,14.93,15,15,14.92,1.29,-0.0178
1988/8/16,15.02,15.1,15.15,14.95,1.24,0.006
1988/8/17,14.95,15,15,14.91,0.38,-0.0047
1988/8/18,15.03,14.93,15.09,14.92,0.85,0.0054
1988/8/19,15.1,15.08,15.18,15.08,1.12,0.0047
1988/8/22,15.2,15.14,15.28,15.14,0.55,0.0066
1988/8/23,14.99,15.15,15.19,14.99,0.99,-0.0138
1988/8/24,15.09,15.1,15.12,15.02,0.62,0.0067
1988/8/25,14.88,15,15.01,14.88,1.04,-0.0139
1988/8/26,14.7,14.78,14.8,14.65,1.29,-0.0121
1988/8/30,14.65,14.58,14.65,14.53,0.95,-0.0034
1988/8/31,14.6,14.8,14.8,14.6,0.66,-0.0034
1988/9/1,14.4,14.5,14.5,14.39,0.48,-0.0137
1988/9/2,14.21,14.35,14.36,14.16,0.62,-0.0132
1988/9/5,13.99,13.91,13.99,13.91,0.22,-0.0155
1988/9/6,13.78,13.92,13.92,13.73,0.35,-0.015
