"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-7-1","79.43","75.19","81.74","74.56","311.44K","6.05%"
"2023-6-1","74.90","72.15","78.73","71.57","5.45M","3.08%"
"2023-5-1","72.66","80.11","80.24","71.28","5.61M","-8.65%"
"2023-4-1","79.54","86.00","87.49","77.39","4.71M","-0.29%"
"2023-3-1","79.77","83.05","86.75","70.12","5.89M","-4.91%"
"2023-2-1","83.89","85.56","86.95","79.10","4.54M","-0.71%"
"2023-1-1","84.49","85.96","89.09","77.61","4.34M","-1.65%"
"2022-12-1","85.91","86.78","89.37","75.11","3.90M","0.56%"
"2022-11-1","85.43","92.67","99.56","80.61","4.97M","-9.91%"
"2022-10-1","94.83","86.35","98.75","86.35","4.46M","7.81%"
"2022-9-1","87.96","95.18","96.99","83.65","4.05M","-8.84%"
"2022-8-1","96.49","103.92","105.48","91.51","4.39M","-12.29%"
"2022-7-1","110.01","109.49","114.75","94.50","4.28M","-4.18%"
"2022-6-1","114.81","116.08","125.19","107.03","4.46M","-6.54%"
"2022-5-1","122.84","106.30","125.28","101.30","4.50M","12.35%"
"2022-4-1","109.34","105.25","114.84","97.57","3.80M","1.33%"
"2022-3-1","107.91","98.43","139.13","96.93","6.28M","6.85%"
"2022-2-1","100.99","89.62","105.79","87.72","5.89M","10.72%"
"2022-1-1","91.21","78.11","91.70","77.04","5.45M","17.27%"
"2021-12-1","77.78","69.80","80.17","65.72","5.18M","10.22%"
"2021-11-1","70.57","83.63","85.50","70.22","6.62M","-16.37%"
"2021-10-1","84.38","78.49","86.70","77.55","6.30M","7.46%"
"2021-9-1","78.52","71.68","80.75","70.42","5.09M","7.58%"
"2021-8-1","72.99","75.39","75.39","64.60","5.51M","-4.38%"
"2021-7-1","76.33","74.69","77.84","67.44","5.85M","1.60%"
"2021-6-1","75.13","69.39","76.60","69.29","5.06M","8.38%"
"2021-5-1","69.32","66.70","70.24","64.57","5.09M","3.08%"
"2021-4-1","67.25","63.12","68.95","61.25","5.05M","5.84%"
"2021-3-1","63.54","64.85","71.38","60.27","6.63M","-3.92%"
"2021-2-1","66.13","54.91","67.70","54.60","5.09M","18.34%"
"2021-1-1","55.88","51.50","57.42","50.56","5.27M","7.88%"
