日期,收盘,开盘,高,低,交易量,涨跌幅
2000/1/2,23.09,23.9,24.7,23.05,142.31,-0.0793 
2000/1/9,25.47,23.04,25.56,23.04,103.38,0.1031 
2000/1/16,26.35,25.55,27.11,25.42,188.49,0.0346 
2000/1/23,25.68,26.68,26.95,25.38,171.39,-0.0254 
2000/1/30,27.07,25.4,27.1,25.21,185.63,0.0541 
2000/2/6,27.82,26.85,28.2,26.06,148.84,0.0277 
2000/2/13,26.22,27.85,28.78,26.2,125.26,-0.0575 
2000/2/20,27.48,26.35,28,25.73,147.88,0.0481 
2000/2/27,28.99,27.2,29.47,27.2,143.38,0.0549 
2000/3/5,28.94,28.95,31.95,28.3,139.34,-0.0017 
2000/3/12,26.56,28.9,29.13,26.45,115.84,-0.0822 
2000/3/19,25.91,26.4,26.43,25.14,163.34,-0.0245 
2000/3/26,24.77,25.65,25.96,24.25,158.26,-0.0440 
2000/4/2,22.58,25,25.22,22.5,134,-0.0884 
2000/4/9,22.41,22.4,23.2,21.3,130.42,-0.0075 
2000/4/16,23.83,22.15,24,21.9,127.44,0.0634 
2000/4/23,23.89,23.85,24.35,22.95,128.47,0.0025 
2000/4/30,25.29,24.1,25.7,24.05,127.58,0.0586 
2000/5/7,28.05,25.3,28.38,25.25,123.25,0.1091 
2000/5/14,28.59,27.64,29.2,27.48,139.71,0.0193 
2000/5/21,29.22,28.55,29.47,27.1,152.17,0.0220 
2000/5/28,29.05,28.65,29.52,28.2,112.2,-0.0058 
2000/6/4,29.58,29.4,29.63,27.9,140.56,0.0182 
2000/6/11,28.35,29.85,31.7,27.69,148.1,-0.0416 
2000/6/18,30.39,27.95,30.6,27.58,180.62,0.0720 
2000/6/25,30.57,30.65,31.15,29.36,141.82,0.0059 
2000/7/2,29.7,30.65,31.25,28.55,157.31,-0.0285 
2000/7/9,29.88,29.35,30.3,28.51,121.23,0.0061 
2000/7/16,27.52,28.9,29.8,27.47,200.66,-0.0790 
2000/7/23,27.36,27.5,27.67,26.78,155.79,-0.0058 
2000/7/30,29.37,27.35,29.55,26.65,140.39,0.0735 
2000/8/6,30.57,29.45,31.44,28.37,112.67,0.0409 
2000/8/13,30.44,30.5,32.8,30,106.95,-0.0043 
2000/8/20,30.39,30.6,31.24,29.9,154.01,-0.0016 
2000/8/27,31.85,31.49,32.12,30.67,92.79,0.0480 
2000/9/3,32.78,31.95,34.6,31.95,160.77,0.0292 
2000/9/10,33.98,32.2,34.37,31.3,142.29,0.0366 
2000/9/17,31.25,33.8,34.98,31.2,218.4,-0.0803 
2000/9/24,29.84,30.25,31.27,29.25,175.06,-0.0451 
2000/10/1,30.1,30.2,31.27,29.42,110.67,0.0087 
2000/10/8,32.52,30.7,35.3,30.24,109.39,0.0804 
2000/10/15,31.62,31.95,32.97,30.56,148.67,-0.0277 
