"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2010-12-26","94.75","93.76","95.20","92.18","333.81K","1.05%"
"2010-12-19","93.77","91.65","94.74","91.02","443.95K","2.29%"
"2010-12-12","91.67","90.65","92.42","90.33","504.82K","1.32%"
"2010-12-5","90.48","91.46","92.86","89.86","766.89K","-1.03%"
"2010-11-28","91.42","85.50","91.85","85.41","911.68K","6.82%"
"2010-11-21","85.58","84.34","86.50","82.43","693.29K","1.47%"
"2010-11-14","84.34","86.44","87.37","82.96","833.82K","-2.32%"
"2010-11-7","86.34","88.30","89.70","85.76","836.20K","-2.01%"
"2010-10-31","88.11","83.13","88.80","82.82","865.73K","5.97%"
"2010-10-24","83.15","83.15","84.20","81.85","905.49K","0.23%"
"2010-10-17","82.96","83.05","84.50","80.75","991.87K","0.62%"
"2010-10-10","82.45","84.33","85.46","81.95","609.11K","-1.88%"
"2010-10-3","84.03","83.81","86.02","81.86","835.49K","0.33%"
"2010-9-26","83.75","79.01","83.81","77.60","837.26K","6.19%"
"2010-9-19","78.87","78.20","80.00","76.75","776.64K","0.84%"
"2010-9-12","78.21","78.23","79.90","77.25","540.43K","0.06%"
"2010-9-5","78.16","76.62","78.85","75.56","751.10K","1.94%"
"2010-8-29","76.67","76.65","77.46","74.24","759.66K","0.03%"
"2010-8-22","76.65","74.46","76.93","71.75","883.59K","3.22%"
"2010-8-15","74.26","75.12","77.69","74.00","631.03K","-1.13%"
"2010-8-8","75.11","80.49","81.38","74.67","722.62K","-6.30%"
"2010-8-1","80.16","78.11","82.86","78.10","778.07K","2.53%"
"2010-7-25","78.18","77.45","78.31","74.80","791.05K","0.94%"
"2010-7-18","77.45","75.13","78.10","74.75","734.89K","2.76%"
"2010-7-11","75.37","75.19","77.79","73.67","442.83K","-0.07%"
"2010-7-4","75.42","71.56","75.86","70.77","599.58K","5.26%"
"2010-6-27","71.65","78.14","78.66","71.21","838.28K","-8.28%"
"2010-6-20","78.12","78.49","79.86","75.40","741.32K","-0.13%"
"2010-6-13","78.22","74.51","79.10","74.44","669.20K","5.21%"
"2010-6-6","74.35","71.55","75.88","70.50","753.17K","3.13%"
"2010-5-30","72.09","74.02","76.55","71.48","742.55K","-2.61%"
"2010-5-23","74.02","71.80","75.74","68.15","810.35K","3.26%"
"2010-5-16","71.68","78.05","78.47","70.20","1.07M","-7.13%"
"2010-5-9","77.18","78.90","81.76","76.80","597.19K","-1.39%"
"2010-5-2","78.27","87.44","89.58","77.51","975.37K","-10.49%"
"2010-4-25","87.44","87.27","87.75","84.88","822.24K","0.22%"
"2010-4-18","87.25","85.74","87.33","83.25","942.50K","1.47%"
