Date,BTC Open,BTC High,BTC Low,BTC Close,BTC Volume,ETH Price,XRP Price,LTC Price,Oil price,Gold Price,DJI Price
2015/11/15,333.050995,334.661987,317.48999,320.165985,44213100,0.906368,0.004165,3.082256213,41.74 ,1083.60 ,17483.01 
2015/11/16,319.734985,331.626007,315.904999,330.751007,47980100,0.928962,0.004176,3.209037296,41.74 ,1083.60 ,17483.01 
2015/11/17,330.362,338.350006,329.614014,335.093994,51001600,1.00798,0.004251,3.211812204,40.67 ,1068.60 ,17489.50 
2015/11/18,334.592987,336.531006,330.640015,334.589996,43783800,0.993319,0.004264,3.216830582,40.75 ,1068.70 ,17737.16 
2015/11/19,334.678986,335.334015,325.27301,326.148987,45011100,0.955532,0.004226,3.129927747,40.54 ,1077.90 ,17732.75 
2015/11/20,326.411011,326.472992,312.21701,322.022003,53152900,0.92492,0.004221,3.120178447,40.39 ,1076.30 ,17823.81 
2015/11/21,322.09201,328.158997,319.595001,326.927002,28200500,0.97614,0.004243,3.142489404,40.84 ,1073.13 ,17813.43 
2015/11/22,326.975006,327.01001,321.259003,324.536011,23439400,0.968018,0.004268,3.140076351,41.30 ,1069.97 ,17803.06 
2015/11/23,324.350006,325.118011,321.290009,323.04599,27478900,0.946969,0.004288,3.133396274,41.75 ,1066.80 ,17792.68 
2015/11/24,323.014008,323.058014,318.118011,320.04599,29362600,0.900191,0.004237,3.111953042,42.87 ,1073.80 ,17812.19 
2015/11/25,320.045013,329.134003,316.769989,328.205994,41666900,0.863537,0.004313,3.308810402,43.04 ,1070.00 ,17813.39 
2015/11/26,328.303009,366.756989,328.229004,352.68399,106105000,0.884183,0.00427,3.648712163,42.59 ,1056.20 ,17805.94 
2015/11/27,351.860992,363.588989,347.869995,358.041992,55179100,0.867951,0.004287,3.57492259,41.71 ,1056.20 ,17798.49 
2015/11/28,357.140991,359.536011,352.171997,357.381012,36816600,0.915703,0.004237,3.494779268,41.69 ,1059.23 ,17772.30 
2015/11/29,357.471985,371.938995,355.665985,371.294006,40409300,0.878614,0.004293,3.661371025,41.67 ,1062.27 ,17746.11 
2015/11/30,371.437012,382.363007,370.382996,377.321014,71701600,0.873119,0.004206,3.619735703,41.65 ,1065.30 ,17719.92 
2015/12/1,377.414001,378.931,356.562988,362.488007,60452200,0.8748,0.004087,3.437035457,41.85 ,1063.50 ,17888.35 
2015/12/2,361.845001,362.231995,349.464996,359.187012,54160500,0.82121,0.004177,3.331577024,39.94 ,1053.80 ,17729.68 
2015/12/3,359.330994,370.274994,357.411987,361.04599,50714900,0.812143,0.00426,3.374362953,41.08 ,1061.20 ,17477.67 
2015/12/4,361.261993,363.515991,355.756989,363.183014,35784100,0.840041,0.004773,3.357686866,39.97 ,1084.10 ,17847.63 
2015/12/5,363.721008,389.785004,363.229004,388.949005,66282200,0.862438,0.005259,3.530172123,39.20 ,1081.13 ,17808.59 
2015/12/6,389.554993,402.80899,387.088989,388.78299,77762000,0.8355,0.00536,3.477725072,38.42 ,1078.17 ,17769.55 
2015/12/7,389.977997,399.968994,385.411011,395.536011,63455800,0.811264,0.005508,3.620737149,37.65 ,1075.20 ,17730.51 
2015/12/8,395.753998,415.562988,389.950012,415.562988,57801400,0.822118,0.006677,3.691534668,37.51 ,1075.30 ,17568.00 
2015/12/9,414.44101,423.119995,406.290985,417.562988,90917200,0.792167,0.00849,3.653236999,37.16 ,1076.50 ,17492.30 
2015/12/10,417.988007,419.509003,411.548004,415.479004,52138900,0.840396,0.008549,3.633663445,36.76 ,1072.00 ,17574.75 
2015/12/11,415.281006,451.937988,415.281006,451.937988,110944000,0.929762,0.008445,3.816127919,35.62 ,1075.70 ,17265.21 
2015/12/12,452.334991,469.102997,410.740997,434.997009,131969000,0.976973,0.008466,3.587035289,35.85 ,1071.60 ,17299.64 
2015/12/13,431.660004,441.679993,426.268005,433.755005,55050600,0.952884,0.008787,3.59733521,36.08 ,1067.50 ,17334.07 
2015/12/14,433.272003,447.141998,430.455994,444.182007,130496000,0.993022,0.007778,3.582357073,36.31 ,1063.40 ,17368.50 
2015/12/15,443.877991,465.321014,443.877991,465.321014,83121104,1.01415,0.006684,3.808972951,37.35 ,1061.60 ,17524.91 
2015/12/16,465.208008,465.208008,443.851013,454.93399,107944000,0.991182,0.006754,3.66953543,35.52 ,1076.80 ,17749.09 
2015/12/17,454.777008,457.859985,448.858002,456.078003,47978400,0.940701,0.006692,3.729009377,34.95 ,1049.60 ,17495.84 
2015/12/18,455.846985,465.177002,454.940002,463.615997,60220100,0.920127,0.006384,3.755614859,34.73 ,1065.00 ,17128.55 
2015/12/19,463.552002,465.580994,456.765015,462.321991,47892700,0.908072,0.006284,3.735729638,34.73 ,1070.20 ,17169.57 
2015/12/20,462.234009,462.644989,434.338013,442.684998,75409400,0.903885,0.00624,3.509846097,34.74 ,1075.40 ,17210.60 
2015/12/21,442.838013,444.729004,427.312012,438.639008,77639696,0.900771,0.006271,3.432186574,34.74 ,1080.60 ,17251.62 
2015/12/22,437.436005,443.687988,435.515991,436.571991,50840400,0.864202,0.006187,3.384526384,36.14 ,1074.10 ,17417.27 
2015/12/23,436.720001,444.528992,436.618988,442.401001,47161400,0.858077,0.006028,3.573623356,37.50 ,1068.30 ,17602.61 
2015/12/24,443.091003,458.455994,443.076996,454.984985,57157200,0.863262,0.005971,3.621015446,38.10 ,1075.90 ,17552.17 
2015/12/25,454.855011,458.304993,452.075012,455.653015,39078500,0.870363,0.006488,3.609307499,37.78 ,1074.00 ,17546.20 
2015/12/26,455.756012,457.489014,405.76001,417.273987,116166000,0.854603,0.006182,3.44713989,37.46 ,1072.10 ,17540.22 
2015/12/27,416.514008,424.006989,408.882996,422.822998,53591200,0.856365,0.006355,3.504427376,37.13 ,1070.20 ,17534.25 
2015/12/28,423.342987,429.769012,418.480988,422.278992,49638600,0.845005,0.006338,3.45317576,36.81 ,1068.30 ,17528.27 
