Date,Close,Open,High,Low,Tansection,range
2000/1/27,25.62,25.9,26.38,25.45,34.84,-1.95%
2000/1/28,25.68,25.45,25.92,25.38,22.23,0.23%
2000/1/31,25.97,25.4,26.19,25.21,38.61,1.13%
2000/2/1,26.39,26.1,26.6,26.08,40.36,1.62%
2000/2/2,25.93,26.62,26.82,25.82,45.9,-1.74%
2000/2/3,26.66,26.12,26.69,26.07,30.38,2.82%
2000/2/4,27.07,26.65,27.1,26.2,30.38,1.54%
2000/2/7,26.88,26.85,27.05,26.67,20.02,-0.70%
2000/2/8,26.37,26.73,26.86,26.32,29,-1.90%
2000/2/9,26.92,26.45,26.99,26.06,32.44,2.09%
2000/2/10,27.48,26.75,27.62,26.75,34.47,2.08%
2000/2/11,27.82,27.5,28.2,27.45,32.91,1.24%
2000/2/14,28.76,27.85,28.78,27.82,13.06,3.38%
2000/2/15,27.13,27.2,27.48,26.98,32.35,-5.67%
2000/2/16,27.37,27.15,27.47,26.9,28.33,0.88%
2000/2/17,26.67,27.15,27.16,26.55,30.1,-2.56%
2000/2/18,26.22,26.65,26.77,26.2,21.42,-1.69%
2000/2/21,25.93,26.35,26.4,25.78,18.43,-1.11%
2000/2/22,26.58,25.85,26.75,25.73,32.88,2.51%
2000/2/23,27.06,26.5,27.14,26.44,34.47,1.81%
2000/2/24,27.37,27,27.5,27,32.29,1.15%
2000/2/25,27.48,27.25,28,27.12,29.82,0.40%
2000/2/28,27.41,27.2,27.78,27.2,21.13,-0.25%
2000/2/29,28.09,27.35,28.12,27.35,26.42,2.48%
2000/3/1,29.06,28,29.14,28,42.11,3.45%
2000/3/2,29.22,28.7,29.47,28.55,32.68,0.55%
2000/3/3,28.99,28.95,29.28,28.7,21.04,-0.79%
2000/3/6,29.63,28.95,29.69,28.95,21.03,2.21%
2000/3/7,31.9,30.1,31.95,30.1,30.29,7.66%
2000/3/8,28.8,31.4,31.4,28.3,34.8,-9.72%
2000/3/9,29.29,29.35,29.9,28.39,32.88,1.70%
2000/3/10,28.94,29.05,29.4,28.63,20.33,-1.19%
2000/3/13,28.89,28.9,29.13,28.55,20.73,-0.17%
2000/3/14,28.34,29,29.13,28.2,27.37,-1.90%
2000/3/15,27.53,28.35,28.47,27.35,24.35,-2.86%
2000/3/16,27.41,27.2,27.77,26.9,9.26,-0.44%
2000/3/17,26.56,26.9,27.14,26.45,34.13,-3.10%
2000/3/20,25.21,26.4,26.43,25.2,37.89,-5.08%
2000/3/21,25.72,25.2,25.85,25.14,34.77,2.02%
2000/3/22,25.4,25.45,26.18,25.26,36.45,-1.24%
2000/3/23,25.48,25.35,25.79,25.32,27.84,0.31%
2000/3/24,25.91,25.75,26.34,25.75,26.39,1.69%
2000/3/27,25.68,25.65,25.9,25.38,20.91,-0.89%
2000/3/28,25.51,25.55,25.96,25.3,29.36,-0.66%
2000/3/29,24.4,25.24,25.27,24.25,48.3,-4.35%
2000/3/30,24.63,24.4,24.76,24.37,31.03,0.94%
2000/3/31,24.77,24.8,25.27,24.58,28.67,0.57%
2000/4/3,24.51,25,25.22,24.5,21.51,-1.05%
2000/4/4,23.65,24.35,24.44,23.62,33.49,-3.51%
2000/4/5,23.75,23.4,23.91,23.35,31.76,0.42%
2000/4/6,23.45,23.9,24.13,23.42,24.65,-1.26%
2000/4/7,22.58,23.35,23.55,22.5,22.6,-3.71%
2000/4/10,21.3,22.4,22.4,21.3,31.55,-5.67%
2000/4/11,21.67,21.8,22.02,21.4,29.27,1.74%
2000/4/12,23.12,21.9,23.2,21.9,24.42,6.69%
2000/4/13,22.66,23.09,23.15,22.6,12.95,-1.99%
2000/4/14,22.41,22.95,23.15,22.35,32.23,-1.10%
2000/4/17,22.74,22.15,22.93,21.9,35.67,1.47%
2000/4/18,23.05,23.15,23.2,22.67,29.79,1.36%
2000/4/19,23.77,23,24,23,39.18,3.12%
2000/4/20,23.83,23.75,23.97,23.55,22.81,0.25%
2000/4/25,23.33,23.85,23.85,23.3,26.92,-2.10%
2000/4/26,22.98,23.3,23.35,22.95,26.61,-1.50%
2000/4/27,23.76,23.05,23.85,23.05,35.87,3.39%
2000/4/28,23.89,23.95,24.35,23.85,39.06,0.55%
2000/5/2,25.08,24.1,25.37,24.05,40.26,4.98%
2000/5/3,25,25.15,25.7,24.9,41.79,-0.32%
2000/5/4,25.15,24.9,25.5,24.73,27.63,0.60%
2000/5/5,25.29,25.16,25.4,24.95,17.92,0.56%
2000/5/8,26.08,25.3,26.15,25.25,23.07,3.12%
2000/5/9,26.82,25.71,26.95,25.71,27.93,2.84%
